DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-08-31 07:05:02,34,B,argosLC,unitless
2016-08-31 08:47:12,2,-69.1881,longitude,degree
2016-08-31 08:47:12,3,41.3672,latitude,degree
2016-08-31 08:47:12,34,B,argosLC,unitless
2016-08-31 08:47:12,35,11464,argosErrMaj,meter
2016-08-31 08:47:12,36,3775,argosErrMin,meter
2016-08-31 08:47:12,37,132,argosErrOrient,degree
2016-08-31 11:31:58,2,-69.1432,longitude,degree
2016-08-31 11:31:58,3,41.3133,latitude,degree
2016-08-31 11:31:58,34,1,argosLC,unitless
2016-08-31 11:31:58,35,4128,argosErrMaj,meter
2016-08-31 11:31:58,36,382,argosErrMin,meter
2016-08-31 11:31:58,37,98,argosErrOrient,degree
2016-08-31 11:33:29,2,-69.143,longitude,degree
2016-08-31 11:33:29,3,41.313,latitude,degree
2016-08-31 11:33:29,34,1,argosLC,unitless
2016-08-31 11:38:45,2,-69.1167,longitude,degree
2016-08-31 11:38:45,3,41.3156,latitude,degree
2016-08-31 11:38:45,34,B,argosLC,unitless
2016-08-31 11:38:45,35,5573,argosErrMaj,meter
2016-08-31 11:38:45,36,1476,argosErrMin,meter
2016-08-31 11:38:45,37,160,argosErrOrient,degree
2016-08-31 11:38:46,2,-69.117,longitude,degree
2016-08-31 11:38:46,3,41.316,latitude,degree
2016-08-31 11:38:46,34,B,argosLC,unitless
2016-08-31 13:19:02,2,-69.0951,longitude,degree
2016-08-31 13:19:02,3,41.375,latitude,degree
2016-08-31 13:19:02,34,A,argosLC,unitless
2016-08-31 13:19:02,35,15248,argosErrMaj,meter
2016-08-31 13:19:02,36,839,argosErrMin,meter
2016-08-31 13:19:02,37,84,argosErrOrient,degree
2016-09-01 12:41:45,2,-68.888,longitude,degree
2016-09-01 12:41:45,3,41.513,latitude,degree
2016-09-01 12:41:45,34,B,argosLC,unitless
2016-09-02 10:45:57,2,-68.823,longitude,degree
2016-09-02 10:45:57,3,41.834,latitude,degree
2016-09-02 10:45:57,34,B,argosLC,unitless
2016-09-02 10:46:42,2,-68.852,longitude,degree
2016-09-02 10:46:42,3,41.846,latitude,degree
2016-09-02 10:46:42,34,2,argosLC,unitless
2016-09-03 19:32:11,2,-69.151,longitude,degree
2016-09-03 19:32:11,3,41.994,latitude,degree
2016-09-03 19:32:11,34,B,argosLC,unitless
2016-09-04 09:56:33,2,-69.066,longitude,degree
2016-09-04 09:56:33,3,42.156,latitude,degree
2016-09-04 09:56:33,34,B,argosLC,unitless
2016-09-04 12:09:07,2,-69.086,longitude,degree
2016-09-04 12:09:07,3,42.28,latitude,degree
2016-09-04 12:09:07,34,A,argosLC,unitless
2016-09-04 13:37:06,2,-69.108,longitude,degree
